team_name,city_name,conference,division,arena_latlong
Boston Celtics,"Boston, MA",eastern,atlantic,POINT Z (-71.062228 42.366303 0)
Brooklyn Nets,"New York City, NY",eastern,atlantic,POINT Z (-73.974689 40.68265 0)
New York Knicks,"New York City, NY",eastern,atlantic,POINT Z (-73.993611 40.750556 0)
Philadelphia 76ers,"Philadelphia, PA",eastern,atlantic,POINT Z (-75.171944 39.901111 0)
Toronto Raptors,"Toronto, Ontario",eastern,atlantic,POINT Z (-79.379167 43.643333 0)
Chicago Bulls,"Chicago, IL",eastern,central,POINT Z (-87.674167 41.880556 0)
Cleveland Cavaliers,"Cleveland, OH",eastern,central,POINT Z (-81.688056 41.496389 0)
Detroit Pistons,"Detroit, MI",eastern,central,POINT Z (-83.245556 42.696944 0)
Indiana Pacers,"Indianapolis, IN",eastern,central,POINT Z (-86.155556 39.763889 0)
Milwaukee Bucks,"Milwaukee, WI",eastern,central,POINT Z (-87.916944 43.043611 0)
Atlanta Hawks,"Atlanta, GA",eastern,southeast,POINT Z (-84.396389 33.757222 0)
Charlotte Hornets,"Charlotte, NC",eastern,southeast,POINT Z (-80.839167 35.225 0)
Miami Heat,"Miami, FL",eastern,southeast,POINT Z (-80.188056 25.781389 0)
Orlando Magic,"Orlando,FL",eastern,southeast,POINT Z (-81.383611 28.539167 0)
Washington Wizards,"Washington, DC",eastern,southeast,POINT Z (-77.020833 38.898056 0)
Denver Nuggets,"Denver, CO",western,northwest,POINT Z (-105.0075 39.748611 0)
Minnesota Timberwolves,"Minneapolis, MN",western,northwest,POINT Z (-93.276111 44.979444 0)
Oklahoma City Thunder,"Oklahoma City, OK",western,northwest,POINT Z (-97.515 35.463333 0)
Portland Trail Blazers,"Portland, OR",western,northwest,POINT Z (-122.666667 45.531667 0)
Utah Jazz,"Salt Lake Ciy, UT",western,northwest,POINT Z (-111.901111 40.768333 0)
Golden State Warriors,"San Francisco, CA",western,pacific,POINT Z (-122.3875 37.768056 0)
Los Angeles Clippers,"Los Angeles, CA",western,pacific,POINT Z (-118.267222 34.043056 0)
Los Angeles Lakers,"Los Angeles, CA",western,pacific,POINT Z (-118.267222 34.043056 0)
Phoenix Suns,"Phoenix, AZ",western,pacific,POINT Z (-112.071389 33.445833 0)
Sacramento Kings,"Sacramento, CA",western,pacific,POINT Z (-121.518056 38.649167 0)
Dallas Mavericks,"Dallas, TX",western,southwest,POINT Z (-96.810278 32.790556 0)
Houston Rockets,"Houston, TX",western,southwest,POINT Z (-95.362222 29.750833 0)
Memphis Grizzlies,"Memphis, TN",western,southwest,POINT Z (-90.050556 35.138333 0)
New Orleans Pelicans,"New Orleans, LA",western,southwest,POINT Z (-90.081944 29.948889 0)
San Antonio Spurs,"San Antonio, TX",western,southwest,POINT Z (-98.4375 29.426944 0)
